FRAME,PATHS
0,nan
1,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
2,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
3,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
4,Kano -> Addis Ababa,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Cairo -> Kampala, Uganda,Casablanca -> Addis Ababa
5,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
32,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
33,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
34,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
35,Kano -> Addis Ababa,Cairo -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
36,Kano -> Addis Ababa,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
37,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
38,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
39,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
40,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
41,Kano -> Addis Ababa,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
42,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
43,Kano -> Addis Ababa,Cairo -> Nairobi,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
44,Kano -> Addis Ababa,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
45,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
46,Cairo -> Nairobi,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
47,Cairo -> Nairobi,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
48,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
49,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
50,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
